"sku","name","selling_price","original_price","discount","availability","color","category","breadcrumbs","average_rating","reviews_count"
"GQ1346","Runner Tee",36,45,9,"InStock","White","Clothing","Men/Clothing",4.8,222
"EX7146","Cushioned X Mid-Crew Socks 3 Pairs",15,18,3,"InStock","Grey","Accessories","Men/Accessories",5,5
"H25045","Runner Tee",36,45,9,"InStock","Grey","Clothing","Men/Clothing",4.8,222
"EY0066","Indicator Jacket",40,50,10,"InStock","Black","Clothing","Kids/Clothing",4.8,4
"EX7508","Relaxed Marble Wash Hat",23,28,5,"InStock","Multicolor","Accessories","Men/Accessories",5,2
"EX7025","VFA Backpack",40,50,10,"InStock","Purple","Accessories","Women/Accessories",4.9,76
"FW6968","X Ghosted.3 Laceless Firm Ground Cleats",80,100,20,"InStock","Pink","Shoes","Soccer/Shoes",4.4,281
"H07813","Essentials Logo Tee (Plus Size)",20,25,5,"InStock","Grey","Clothing","Women/Clothing",4.5,29
"EX4821","Originals Sunglasses OR0032",112,160,48,"InStock","Black","Accessories","Originals/Accessories",5,2
"GS3935","adidas x Zoe Saldana Long Sleeve Tee",28,35,7,"InStock","Black","Clothing","Women/Clothing",4.6,15
"H14696","Zebra Logo Graphic Tee",20,25,5,"InStock","Blue","Clothing","Women/Clothing",4.5,25
"H20456","HER Studio London Hoodie",56,70,14,"InStock","White","Clothing","Women/Clothing",4.9,17
"H48154","Aggies Long Sleeve Quarter-Zip Knit Sweatshirt",60,75,15,"InStock","Multi","Clothing","Women/Clothing",5,1
"H33694","Adicolor Classics Satin Dress",48,60,12,"InStock","Black","Clothing","Women/Clothing",4.7,28
"H11395","Adicolor Oversized Sweatshirt",68,85,17,"InStock","White","Clothing","Women/Clothing",4.7,15
"H32461","R.Y.V. Sling Pack",41,58,17,"InStock","Black","Accessories","Originals/Accessories",5,9
"HA5695","adidas Sportswear Future Icons Animal-Print Sweatshirt",48,60,12,"InStock","Grey","Clothing","Women/Clothing",4.8,5
"H14695","Zebra Logo Graphic Tee",20,25,5,"InStock","White","Clothing","Women/Clothing",4.5,25
"H20483","Marimekko Trefoil Infill Cropped Tee",25,35,10,"InStock","White","Clothing","Women/Clothing",4.7,41
"H06683","Adicolor Classics 3-Stripes Windbreaker",80,100,20,"InStock","Black","Clothing","Men/Clothing",4.9,12
"H28794","AEROREADY  Designed to Move Sport Camo Logo Tee",20,25,5,"InStock","Green","Clothing","Men/Clothing",4.9,41
"GS4155","Zebra Logo Graphic Tee",20,25,5,"InStock","Green","Clothing","Women/Clothing",4.5,25
"H20311","Camo-Print SST Top",40,50,10,"InStock","Blue","Clothing","Kids/Clothing",4.9,25
"H20312","Camo-Print Hoodie",36,45,9,"InStock","Blue","Clothing","Kids/Clothing",4.6,64
"GV5159","Short Sleeve Graphic Tee",24,30,6,"InStock","White","Clothing","Men/Clothing",4.9,7
"H33677","Tiro Cargo Pants",45,55,10,"InStock","Burgundy","Clothing","Women/Clothing",4.9,26
"H13914","adidas Adventure Ball Cap",23,32,9,"InStock","Blue","Accessories","Originals/Accessories",4.5,2
"H32458","R.Y.V. Toploader Backpack",63,90,27,"InStock","Black","Accessories","Originals/Accessories",4.7,7
"GS4147","Flower Camo Box Graphic Tee",20,25,5,"InStock","White","Clothing","Women/Clothing",4.5,4
"GU6302","adidas Hockey Hoodie",42,60,18,"InStock","Black","Clothing","Men/Clothing",5,2
"GN4406","Fast Primeblue Tee",32,40,8,"InStock","Black","Clothing","Women/Clothing",4.8,13
"GH8146","Pacer 3-Stripes Woven Shorts",20,25,5,"InStock","Black","Clothing","Women/Clothing",4.7,98
"H32236","Fast Primeblue Tee",32,40,8,"InStock","White","Clothing","Women/Clothing",4.8,13
"H11276","Fast Primeblue Tee",32,40,8,"InStock","Green","Clothing","Women/Clothing",4.8,13
"H17923","Short Piping High-Waist Tights",28,40,12,"InStock","Black","Clothing","Women/Clothing",5,5
